_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
54,Callander M,ST,Northeastern,"465,600","261,000","465,600","465,600","465,600","558,000","261,000","612,000","675,000","620,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,643","1,940",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
55,Calvin Tp,ST,Northeastern,"322,100","322,100","306,000","322,100","322,100","450,000","333,000","306,000","333,000","500,000","370,000","340,000","370,000",Income; Base,Income; Base,Price; CD,Income; Base,807,"1,051","1,367","1,570","1,570",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Income; CD
56,Cambridge C,LT,Western,"423,000","423,000","423,000","423,000","423,000","801,000","567,000","603,000","477,000","890,000","630,000","670,000","530,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,261","1,701","1,978","1,980","2,060","1,261","1,701","1,978","1,980",Rent; CD,Rent; Base,Rent; Base,Rent; CD
57,Carleton Place T,LT,Eastern,"403,600","403,600","403,600","333,000","403,600","612,000","441,000","459,000","333,000","680,000","490,000","510,000","370,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,281","1,365","1,960","1,960","1,960","1,281","1,365","2,366","2,142",Rent; Region,Rent; Base,Income; Base,Income; Base
58,Carling Tp,ST,Northeastern,"415,200","261,000","415,200","415,200","415,200","819,000","261,000","612,000","675,000","910,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
59,Carlow-Mayo Tp,LT,Eastern,"322,100","322,100","322,100","322,100","322,100","531,000","378,000","459,000","405,000","590,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,710","1,710","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Income; CD
60,Casey Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","395,800","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
61,Casselman M,LT,Eastern,"461,800","432,000","414,000","351,000","461,800","513,000","432,000","414,000","351,000","570,000","480,000","460,000","390,000",Income; Base,Price; CD,Price; CD,Price; CD,590,948,"1,463","1,830","1,830",590,948,"1,463","2,142",Rent; CD,Rent; CD,Rent; CD,Income; Base
62,Cavan Monaghan Tp,LT,Eastern,"500,600","486,000","500,600","500,600","500,600","882,000","486,000","531,000","558,000","980,000","540,000","590,000","620,000",Income; Base,Price; CD,Income; Base,Income; Base,990,"1,245","1,518","1,730","2,300",990,"1,245","1,518","1,730",Rent; CD,Rent; CD,Rent; CD,Rent; CD
63,Central Elgin M,LT,Western,"477,300","450,000","477,300","477,300","477,300","711,000","450,000","603,000","531,000","790,000","500,000","670,000","590,000",Income; Base,Price; CD,Income; Base,Income; Base,959,"1,187","1,599","2,060","2,060",959,"1,187","1,599","2,241",Rent; CD,Rent; CD,Rent; CD,Income; Base
64,Central Frontenac Tp,LT,Eastern,"325,900","325,900","325,900","325,900","325,900","486,000","459,000","513,000","432,000","540,000","510,000","570,000","480,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,202","1,410","1,410","1,410","1,410","1,202","1,505","1,767","2,710",Rent; CD,Income; Base,Income; Base,Income; Base
65,Central Huron M,LT,Western,"357,000","357,000","357,000","357,000","357,000","567,000","450,000","459,000","495,000","630,000","500,000","510,000","550,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,205","1,640","1,640","1,640","1,082","1,205","1,804","1,744",Rent; Region,Rent; CD,Income; Base,Income; Base
